Last Name,First Name,Team,Bye,Name,Pos,PPR POINTS
Boyd,Tyler,Bengals,7,Tyler Boyd,WR,170
Rice,Rashee,Chiefs,10,Rashee Rice,WR,158
Wilson,Michael,Cardinals,14,Michael Wilson,WR,145
Reed,Jayden,Packers,6,Jayden Reed,WR,168
Pierce,Alec,Colts,11,Alec Pierce,WR,155
Gallup,Michael,Cowboys,7,Michael Gallup,WR,161
Slayton,Darius,Giants,13,Darius Slayton,WR,157
Samuel,Curtis,Redskins,14,Curtis Samuel,WR,160
Tillman,Cedric,Browns,5,Cedric Tillman,WR,153
Moore,Rondale,Cardinals,14,Rondale Moore,WR,171
Jones,Zay,Jaguars,9,Zay Jones,WR,167
Hodgins,Isaiah,Giants,13,Isaiah Hodgins,WR,153
Peoples-Jones,Donovan,Browns,5,Donovan Peoples-Jones,WR,152
Woods,Robert,Texans,7,Robert Woods,WR,157
Davis,Corey,Jets,7,Corey Davis,WR,142
Thielen,Adam,Panthers,7,Adam Thielen,WR,161
Nacua,Puka,Rams,10,Puka Nacua,WR,137
Chark,D.J.,Panthers,7,D.J. Chark,WR,136
Thomas,Michael,Saints,11,Michael Thomas,WR,121
Parker,DeVante,Patriots,11,DeVante Parker,WR,139
Mims,Marvin,Broncos,9,Marvin Mims,WR,128
Downs,Josh,Colts,11,Josh Downs,WR,140
Dortch,Greg,Cardinals,14,Greg Dortch,WR,148
Hollins,Mack,Falcons,11,Mack Hollins,WR,135
Hardman,Mecole,Jets,7,Mecole Hardman,WR,128
Valdes-Scantling,Marquez,Chiefs,10,Marquez Valdes-Scantling,WR,119
Marshall,Terrace,Panthers,7,Terrace Marshall,WR,124
Renfrow,Hunter,Raiders,13,Hunter Renfrow,WR,134
Collins,Nico,Texans,7,Nico Collins,WR,126
Doubs,Romeo,Packers,6,Romeo Doubs,WR,119
Robinson,Wan'Dale,Giants,13,Wan'Dale Robinson,WR,106
Claypool,Chase,Bears,13,Chase Claypool,WR,102
Patrick,Tim,Broncos,9,Tim Patrick,WR,0
Kelce,Travis,Chiefs,10,Travis Kelce,TE,288
Andrews,Mark,Ravens,13,Mark Andrews,TE,247
Hockenson,T.J.,Vikings,13,T.J. Hockenson,TE,233
Kittle,George,49ers,9,George Kittle,TE,203
Pitts,Kyle,Falcons,11,Kyle Pitts,TE,199
Goedert,Dallas,Eagles,10,Dallas Goedert,TE,199
Freiermuth,Pat,Steelers,6,Pat Freiermuth,TE,179
Waller,Darren,Giants,13,Darren Waller,TE,172
Engram,Evan,Jaguars,9,Evan Engram,TE,168
Schultz,Dalton,Texans,7,Dalton Schultz,TE,159
Higbee,Tyler,Rams,10,Tyler Higbee,TE,169
Musgrave,Luke,Packers,6,Luke Musgrave,TE,157
Kincaid,Dalton,Bills,13,Dalton Kincaid,TE,146
Dulcich,Greg,Broncos,9,Greg Dulcich,TE,149
Hill,Taysom,Saints,11,Taysom Hill,TE,56
